source,target,edge_type
405800000,405812000,ownership
405800000,405813000,ownership
405800000,405814000,ownership
405600000,431200000,ownership
500500000,500501000,ownership
500500000,500502000,ownership
500500000,500503000,ownership
500500000,500504000,ownership
500500000,500505000,ownership
500500000,500506000,ownership
500500000,500507000,ownership
500500000,500508000,ownership
500500000,500509000,ownership
500500000,500510000,ownership
500500000,500511000,ownership
500500000,500512000,ownership
500500000,500513000,ownership
500500000,500514000,ownership
500500000,500515000,ownership
500500000,500516000,ownership
500500000,500517000,ownership
500500000,500518000,ownership
501600000,501601000,ownership
501600000,501602000,ownership
501600000,501603000,ownership
501600000,501604000,ownership
501600000,501605000,ownership
501600000,501606000,ownership
501600000,501607000,ownership
501600000,501608000,ownership
501600000,501609000,ownership
501600000,501610000,ownership
501600000,501611000,ownership
501600000,501612000,ownership
501700000,501701000,ownership
501700000,501702000,ownership
501700000,501703000,ownership
501700000,501704000,ownership
501700000,501705000,ownership
501700000,501706000,ownership
501700000,501707000,ownership
501700000,501708000,ownership
501700000,501709000,ownership
501700000,501710000,ownership
501700000,501711000,ownership
501700000,501712000,ownership
501700000,501713000,ownership
501700000,501714000,ownership
501700000,501715000,ownership
501700000,501716000,ownership
501700000,501717000,ownership
501700000,501718000,ownership
501700000,501719000,ownership
501700000,501720000,ownership
501700000,501721000,ownership
501700000,501722000,ownership
501700000,501723000,ownership
501700000,501724000,ownership
501700000,501725000,ownership
501700000,501726000,ownership
501700000,501727000,ownership
501700000,501728000,ownership
501700000,501729000,ownership
501700000,501730000,ownership
501700000,501731000,ownership
501700000,501732000,ownership
501700000,501733000,ownership
501700000,501734000,ownership
501700000,501735000,ownership
501700000,501736000,ownership
501700000,501737000,ownership
502000000,502001000,ownership
502000000,502002000,ownership
502000000,502003000,ownership
502000000,502004000,ownership
502000000,502005000,ownership
502000000,502006000,ownership
502000000,502007000,ownership
502000000,502008000,ownership
502000000,502009000,ownership
502000000,502010000,ownership
502000000,502011000,ownership
504100000,504101000,ownership
504100000,504102000,ownership
504100000,504103000,ownership
504100000,504104000,ownership
504100000,504105000,ownership
504100000,504106000,ownership
504100000,504107000,ownership
504100000,504108000,ownership
504100000,504109000,ownership
504100000,504110000,ownership
504100000,504111000,ownership
504100000,504112000,ownership
504100000,504113000,ownership
504100000,504114000,ownership
504100000,504115000,ownership
504100000,504116000,ownership
504100000,504117000,ownership
504100000,504118000,ownership
504100000,504119000,ownership
504100000,504120000,ownership
504100000,504121000,ownership
506200000,506202000,ownership
506200000,506203000,ownership
506200000,506204000,ownership
506200000,506205000,ownership
506200000,506206000,ownership
506200000,506207000,ownership
506200000,506208000,ownership
506200000,506209000,ownership
506200000,506210000,ownership
506200000,506211000,ownership
506200000,506212000,ownership
506200000,506213000,ownership
506200000,506214000,ownership
506200000,506215000,ownership
506200000,506216000,ownership
600400000,600401000,ownership
600400000,600402000,ownership
600400000,600403000,ownership
600400000,600404000,ownership
600400000,600405000,ownership
600400000,600406000,ownership
600400000,600407000,ownership
600400000,600408000,ownership
600400000,600409000,ownership
600400000,600410000,ownership
600400000,600411000,ownership
600400000,600412000,ownership
600400000,600413000,ownership
600400000,600414000,ownership
600400000,600415000,ownership
600400000,600416000,ownership
600400000,600417000,ownership
600600000,600601000,ownership
600600000,600602000,ownership
600600000,600603000,ownership
600600000,600604000,ownership
600600000,600605000,ownership
600600000,600606000,ownership
600600000,600607000,ownership
600600000,600608000,ownership
600600000,600609000,ownership
600600000,600610000,ownership
600600000,600611000,ownership
600600000,600612000,ownership
600600000,600613000,ownership
600600000,600614000,ownership
600600000,600615000,ownership
600600000,600616000,ownership
600600000,600617000,ownership
600600000,600618000,ownership
601900000,601901000,ownership
601900000,601902000,ownership
601900000,601903000,ownership
601900000,601904000,ownership
601900000,601905000,ownership
601900000,601906000,ownership
601900000,601907000,ownership
601900000,601908000,ownership
601900000,601909000,ownership
601900000,601910000,ownership
601900000,601911000,ownership
601900000,601912000,ownership
601900000,601913000,ownership
601900000,601914000,ownership
601900000,601915000,ownership
601900000,601916000,ownership
601900000,601917000,ownership
603000000,603001000,ownership
603000000,603002000,ownership
603000000,603003000,ownership
603000000,603004000,ownership
603000000,603005000,ownership
603000000,603006000,ownership
603000000,603007000,ownership
603000000,603008000,ownership
603000000,603009000,ownership
603000000,603010000,ownership
603000000,603012000,ownership
603000000,603013000,ownership
603000000,603014000,ownership
603000000,603015000,ownership
603000000,603016000,ownership
603000000,603017000,ownership
603000000,603018000,ownership
603000000,603019000,ownership
603000000,603020000,ownership
603000000,603021000,ownership
603000000,603023000,ownership
603000000,603025000,ownership
603000000,603026000,ownership
603000000,603027000,ownership
603000000,603028000,ownership
603000000,603029000,ownership
603000000,603030000,ownership
603000000,603031000,ownership
603000000,603032000,ownership
603000000,603034000,ownership
603000000,603035000,ownership
603000000,603036000,ownership
603000000,603037000,ownership
603000000,603038000,ownership
603000000,603039000,ownership
603000000,603040000,ownership
603000000,603041000,ownership
603000000,603042000,ownership
603000000,603043000,ownership
603000000,603044000,ownership
603000000,603045000,ownership
603000000,603046000,ownership
603000000,603047000,ownership
604500000,604502000,ownership
604500000,604503000,ownership
604500000,604504000,ownership
604500000,604505000,ownership
604500000,604506000,ownership
604500000,604507000,ownership
604500000,604508000,ownership
604500000,604509000,ownership
604500000,604510000,ownership
604500000,604511000,ownership
604500000,604512000,ownership
604500000,604513000,ownership
203100000,604514000,ownership
604500000,604515000,ownership
604500000,604516000,ownership
604500000,604517000,ownership
604500000,604518000,ownership
604500000,604519000,ownership
604500000,604520000,ownership
604500000,604521000,ownership
604500000,604522000,ownership
604500000,604523000,ownership
604500000,604524000,ownership
604500000,604525000,ownership
604500000,604526000,ownership
604500000,604527000,ownership
604500000,604528000,ownership
604500000,604529000,ownership
